;scraped;nombre del producto:nombre:nombre;id;clp;marca fabricante;variant;lista
0;05-04-22;"Tablet Space 7"" 1GB 16GB WiFi Quad Core Android";43812;$46,390;Gear;;Categorías
1;05-04-22;"Tablet Space Kids 7"" 1GB 16GB WiFi Quad Core Android + Carcasa Monster";43813;51590;Gear;;Categorías
2;05-04-22;"Tablet SoyMomo Lite 2.0 7"" 2GB 16GB Wifi Quad Core Android Rosado";;61890;SoyMomo;;Categorías
3;05-04-22;"Tablet Tab M7 7"" HD 1GB 16GB 4G LTE Onix Black";41836;$72,190;Lenovo;;Categorías
4;05-04-22;"Tablet M7 2 32GB 7"" HD Wifi Iron grey";45200;82490;Lenovo;;Categorías
5;05-04-22;"Tablet  Tab M8 8"" 2GB 32GB WiFi Quad Core Android Iron Grey";36684;;Lenovo;;Categorías
6;05-04-22;"Kindle Touch 6"" 8GB Luz frontal ajustable WiFi Negro ";44765;92790;Kindle;;Categorías
7;05-04-22;"Kindle Touch 6"" 8GB Luz frontal ajustable WiFi Negro ";44765;92790;Kindle;;Categorías
8;05-04-22;ERROR101;43205;92790;Lenovo;;Categorías
9;05-04-22;"Kindle Touch 6"" 8GB Luz frontal ajustable WiFi Negro";40917;92790;Kindle;;Categorías
10;05-04-22;"Kindle Touch 6"" 8GB Luz frontal ajustable WiFi Blanco";40918;;Kindle;;Categorías
11;05-04-22;"Kindle Touch Luz incorporada 6"" 8GB WiFi  Negro";;97890;Kindle;;Categorías
12;05-04-22;"Tablet SoyMomo Pro 8"" 2GB 32GB WiFi Octa Core Android Azul";45067;103090;SoyMomo;;Categorías
13;05-04-22;"Tablet SoyMomo Pro 8"" 2GB 32GB WiFi Octa Core Android Azul";45067;120090;SoyMomo;;Categorías
14;05-04-22;"Tablet Pro T310 10,1"" 2GB 32GB WiFi Quad Core Android ";43421;103090;Gear;;Categorías
15;05-04-22;"Tablet Smart M8 8"" 2GB 32GB WiFi con Estación de Carga Inteligente y Google Assitant Iron Grey";37245;103090;Lenovo;;Categorías
16;05-04-22;"Tablet MatePad T10 9.7"" 2GB 32GB WiFi Deepsea Blue";41923;103090;Huawei;;Categorías
17;05-04-22;"Tablet MatePad T10 LTE 9.7"" 2GB 32GB WiFi Deepsea Blue ";45659;113390;Huawei;;Categorías
18;05-04-22;"Tablet  Pro T618 10,1"" 4GB 64GB WiFi Octa Core Android";43420;118590;Gear;;Categorías
19;05-04-22;"Tablet Galaxy Tab A7 Lite 8.7"" 3GB 32GB WIFI Octa Core Android Dark Grey";41832;123690;Samsung;;Categorías
20;05-04-22;Kindle Paperwhite Waterproof 6” WiFi  8GB Azul;43360;133990;Kindle;;Categorías
21;05-04-22;"Tablet Matepad T10s 10.1"" 4GB 64GB WiFi Deepsea Blue ";44740;133990;Huawei;;Categorías
22;05-04-22;"Kindle Paperwhite Waterproof 6"" WiFi 8GB Negro";44768;133990;Kindle;;Categorías
23;05-04-22;"Tablet Matepad T8 8"" 2GB 32GB WiFi Deepsea Blue";38071;133990;Huawei;;Categorías
24;05-04-22;"Tablet Smart Tab M10 10.1"" HD 4GB 64GB Octa Core Iron Grey WiFi";41837;133990;Lenovo;;Categorías
25;05-04-22;"Kindle Paperwhite Waterproof 6"" WiFi 8GB  Negro";40916;133990;Kindle;;Categorías
26;05-04-22;"Tablet MatePad T10 Kid 9.7"" 2GB 32GB WiFi Deepsea Blue";42704;133990;Huawei;;Categorías
27;05-04-22;Kindle Paperwhite Waterproof 6” WiFi 32GB Negro;43359;139190;Kindle;;Categorías
28;05-04-22;"Tablet Galaxy Tab A7 Lite 8.7"" 3GB 32GB WIFI + 4G Octa Core Android Silver";41830;139190;Samsung;;Categorías
29;05-04-22;"Tablet SoyMomo Pro 2.0 8"" 4GB 64GB Wifi Octa Core Android Azul";45069;144290;SoyMomo;;Categorías
30;05-04-22;"Tablet Tab M10 Plus 10.3"" 4GB 64GB WiFi  Platinum Grey";37868;144290;Lenovo;;Categorías
31;05-04-22;"Tablet Galaxy Tab A8 10.5"" 3GB 32GB WiFi con BookCover Gray";44882;159790;Samsung;;Categorías
32;05-04-22;"Tablet M10 Plus 4GB 128GB 10.3"" FHD WiFi platinum grey";45203;180390;Lenovo;;Categorías
33;05-04-22;"Tablet Yoga Smart 10.1"" 4GB 64GB WiFi OctaCore Android Iron Grey Google Assistant";37732;185590;Lenovo;;Categorías
34;05-04-22;"Tablet Galaxy Tab A8 Lite 10.5"" 3GB 32GB WiFi 4G con BookCover Gray ";44884;206190;Samsung;;Categorías
35;05-04-22;"Tablet MatePad T10S 10,1"" 4GB 128GB WiFi Deepsea Blue ";45658;206190;Huawei;;Categorías
36;05-04-22;"Tablet Galaxy Tab S6 Lite 10.4"" 4GB 64GB WiFi con S Pen y BookCover Dark Gray";37217;278390;Samsung;;Categorías
