,Country,Location,Title,Company,Url,Postulaciones,Jornada,Antiguedad
365,Argentina,Greater Buenos Aires,Associate Data Scientist,BBVA en Argentina,https://ar.linkedin.com/jobs/view/associate-data-scientist-at-bbva-en-argentina-3293110026?refId=ZP%2Bkpw8jemlhuGgKKbb5Hg%3D%3D&trackingId=p6JgNqwoYyIedZI%2FZ%2Bvw6Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Ejecutivo
          "
366,Argentina,"Buenos Aires, Buenos Aires Province, Argentina",Nerdearla 2022 - Data Science,Accenture Argentina,https://ar.linkedin.com/jobs/view/nerdearla-2022-data-science-at-accenture-argentina-3319845965?refId=ZP%2Bkpw8jemlhuGgKKbb5Hg%3D%3D&trackingId=FUb6Zjxw2KWIixsiyX0vNw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          80 solicitudes
        ","
          Jornada completa
        ","
            Intermedio
          "
367,Argentina,"Buenos Aires, Buenos Aires Province, Argentina",Data Science - Data & AI,Accenture Argentina,https://ar.linkedin.com/jobs/view/data-science-data-ai-at-accenture-argentina-3292870802?refId=ZP%2Bkpw8jemlhuGgKKbb5Hg%3D%3D&trackingId=UONysKHBkmhUghW7%2Bg9KfA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          106 solicitudes
        ","
          Jornada completa
        ","
            Intermedio
          "
368,Argentina,"Buenos Aires Province, Argentina",ARG - Data Scientist,Movistar (Telefónica Hispam),https://ar.linkedin.com/jobs/view/arg-data-scientist-at-movistar-telef%C3%B3nica-hispam-3293135645?refId=ZP%2Bkpw8jemlhuGgKKbb5Hg%3D%3D&trackingId=6nicGLoqOJceVsqEyA41CA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          174 solicitudes
        ","
          Jornada completa
        ","
            Intermedio
          "
369,Argentina,"Buenos Aires, Buenos Aires Province, Argentina",Data Scientist @Tiimiit,Prisma Medios de Pago,https://ar.linkedin.com/jobs/view/data-scientist-%40tiimiit-at-prisma-medios-de-pago-3289559635?refId=ZP%2Bkpw8jemlhuGgKKbb5Hg%3D%3D&trackingId=tbkOJyL7KWababWm1CbvzQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            No corresponde
          "
370,Argentina,"Autonomous City of Buenos Aires, Buenos Aires Province, Argentina",Científico de Datos Remoto,Consultoriait.com.ar,https://ar.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-remoto-at-consultoriait-com-ar-3298067906?refId=ZP%2Bkpw8jemlhuGgKKbb5Hg%3D%3D&trackingId=CjPqg2rKhBSnvN3Xp7xqMQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          53 solicitudes
        ","
          Jornada completa
        ","
            Sin experiencia
          "
371,Argentina,"Quilmes, Buenos Aires Province, Argentina",Data Science - PO,Cervecería y Maltería Quilmes,https://ar.linkedin.com/jobs/view/data-science-po-at-cervecer%C3%ADa-y-malter%C3%ADa-quilmes-3312965840?refId=ZP%2Bkpw8jemlhuGgKKbb5Hg%3D%3D&trackingId=Q7FwXkKKG%2B9Q61vZ%2FIZoew%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          32 solicitudes
        ","
          Jornada completa
        ","
            Sin experiencia
          "
372,Argentina,"Buenos Aires, Buenos Aires Province, Argentina",Machine Learning Engineer,Kavak.com,https://ar.linkedin.com/jobs/view/machine-learning-engineer-at-kavak-com-3213552891?refId=ZP%2Bkpw8jemlhuGgKKbb5Hg%3D%3D&trackingId=Lh3tRGEd4gGsbTgWDaf5sQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          85 solicitudes
        ","
          Jornada completa
        ","
            Sin experiencia
          "
373,Argentina,"Buenos Aires Province, Argentina",Data Science Research Specialist,Accenture,https://ar.linkedin.com/jobs/view/data-science-research-specialist-at-accenture-3312943232?refId=ZP%2Bkpw8jemlhuGgKKbb5Hg%3D%3D&trackingId=jSuJlPyELo4tkmJj5OMrBA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          43 solicitudes
        ","
          Jornada completa
        ","
            Intermedio
          "
374,Argentina,"Buenos Aires, Buenos Aires Province, Argentina",Data Scientist,Fusemachines,https://ar.linkedin.com/jobs/view/data-scientist-at-fusemachines-3313450103?refId=ZP%2Bkpw8jemlhuGgKKbb5Hg%3D%3D&trackingId=CbVoaEzdGO5k7weyLuS%2Bpg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Intermedio
          "
