,Country,Location,Title,Company,Url,Postulaciones,Jornada,Antiguedad
736,Brasil,"Homestead, FL",Data Scientist,STEMBoard,https://www.linkedin.com/jobs/view/data-scientist-at-stemboard-3306417781?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=Rf%2FVaG2zDgccu7Lc1r%2BvTw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          59 applicants
        ","
          Full-time
        ","
            Associate
          "
737,Brasil,"New York, NY",Data Scientist Full Time,Bardess Group Ltd,https://www.linkedin.com/jobs/view/data-scientist-full-time-at-bardess-group-ltd-3305796937?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=iOmXQlrxGrdkq8I%2B%2BzeNqw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Entry level
          "
738,Brasil,"San Jose, CA",Data Scientist- Remote,McAfee,https://www.linkedin.com/jobs/view/data-scientist-remote-at-mcafee-3309962460?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=mKaEK6KUbMQJAUWfyjx8oQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Not Applicable
          "
739,Brasil,"New York, NY",Data Scientist - Statistical Genetics,Gencove,https://www.linkedin.com/jobs/view/data-scientist-statistical-genetics-at-gencove-3315623276?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=IRc%2F9hwffjMPCtzghnu%2BPQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Not Applicable
          "
740,Brasil,"California, United States",Data Scientist,PayPal,https://www.linkedin.com/jobs/view/data-scientist-at-paypal-3284193883?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=Luhsa%2F%2FIYlJTa4H151Hwxg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          94 applicants
        ","
          Full-time
        ","
            Not Applicable
          "
741,Brasil,"Durango, CO",Data Scientist,"Rural Innovation Strategies, Inc.",https://www.linkedin.com/jobs/view/data-scientist-at-rural-innovation-strategies-inc-3296675993?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=7GdZvDLPo9UvaRD20Ow5Ew%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          60 applicants
        ","
          Full-time
        ","
            Associate
          "
742,Brasil,San Francisco Bay Area,Data Scientist,PayPal,https://www.linkedin.com/jobs/view/data-scientist-at-paypal-3284194722?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=Y3K56%2FLvdzOtaiibnnioSQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          191 applicants
        ","
          Full-time
        ","
            Not Applicable
          "
743,Brasil,"San Jose, CA",Machine Learning Engineer,Yakoa,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-yakoa-3302362061?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=z7KBO1yfJM5quEx7hm9G0g%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          129 applicants
        ","
          Full-time
        ","
            Mid-Senior level
          "
744,Brasil,"Chicago, IL",Data Scientist,PayPal,https://www.linkedin.com/jobs/view/data-scientist-at-paypal-3284194717?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=zYbs7HdfrmCc0BMiKkUr6A%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          151 applicants
        ","
          Full-time
        ","
            Not Applicable
          "
745,Brasil,"Atlanta, GA",Data Scientist (Remote),The Home Depot,https://www.linkedin.com/jobs/view/data-scientist-remote-at-the-home-depot-3305347446?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=wrDZ3suWWoLhWroZ6wfj9Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Entry level
          "
746,Brasil,"Arizona, United States",Data Scientist,PayPal,https://www.linkedin.com/jobs/view/data-scientist-at-paypal-3284197223?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=Pb4HNjtapggoGZQlFBi%2BKA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          60 applicants
        ","
          Full-time
        ","
            Not Applicable
          "
747,Brasil,"New York, United States",Data Scientist,Atlantic Partners Corporation,https://www.linkedin.com/jobs/view/data-scientist-at-atlantic-partners-corporation-3292925189?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=cMJWoOQD6DsQrXNk%2By%2FSbg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          178 applicants
        ","
          Full-time
        ","
            Mid-Senior level
          "
748,Brasil,"San Francisco, CA","Data Scientist, Product (Develop Area)",Asana,https://www.linkedin.com/jobs/view/data-scientist-product-develop-area-at-asana-3305269409?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=YxxsiU6pgbAtvYhQU%2FVWDw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          180 applicants
        ","
          Full-time
        ","
            Entry level
          "
749,Brasil,United States,Data Scientist,Salt,https://www.linkedin.com/jobs/view/data-scientist-at-salt-3304564002?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=xI%2FFXhK9SsGpPPW9d7oepQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Mid-Senior level
          "
750,Brasil,New York City Metropolitan Area,Data Scientist,Storm5,https://www.linkedin.com/jobs/view/data-scientist-at-storm5-3324487148?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=mS5%2B0aUwWCJQv4QqZyimcA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          77 applicants
        ","
          Full-time
        ","
            Mid-Senior level
          "
751,Brasil,"Chicago, IL",Data Scientist,FinTrust Connect,https://www.linkedin.com/jobs/view/data-scientist-at-fintrust-connect-3299563295?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=zCLXEn3raVwI9vzcMY2o1w%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          194 applicants
        ","
          Full-time
        ","
            Mid-Senior level
          "
752,Brasil,"Sunnyvale, CA",Data Scientist – Operations Research,Bosch USA,https://www.linkedin.com/jobs/view/data-scientist-%E2%80%93-operations-research-at-bosch-usa-3302078723?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=bJXlsDCHCf%2BV1zOjRlkuug%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Associate
          "
753,Brasil,"Atlanta, GA",Data Scientist,Mindtree,https://www.linkedin.com/jobs/view/data-scientist-at-mindtree-3293646871?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=KLYPdx4m5UyEA6fZt%2F2jNg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Director
          "
754,Brasil,United States,Data Scientist,UpRecruit,https://www.linkedin.com/jobs/view/data-scientist-at-uprecruit-3305315982?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=Jv2GxspO3e2mIAce5daWDQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Mid-Senior level
          "
755,Brasil,United States,Data Scientist,Hyatt Hotels Corporation,https://www.linkedin.com/jobs/view/data-scientist-at-hyatt-hotels-corporation-3324635346?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=ruEccjDll27MM%2FCXX%2B19yw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          60 applicants
        ","
          Full-time
        ","
            Mid-Senior level
          "
756,Brasil,"Dallas, TX",Data Scientist,Glocomms,https://www.linkedin.com/jobs/view/data-scientist-at-glocomms-3291983191?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=0kQwITSfKmRnlPwYS7dzaA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
757,Brasil,"New York, NY",Data Scientist (100% Remote),CyberCoders,https://www.linkedin.com/jobs/view/data-scientist-100%25-remote-at-cybercoders-3300002185?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=2vLas10fmTA%2B6MtkM8%2BF9Q%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Mid-Senior level
          "
758,Brasil,Dallas-Fort Worth Metroplex,Data Scientist,System Soft Technologies,https://www.linkedin.com/jobs/view/data-scientist-at-system-soft-technologies-3305596215?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=G0avtWLt85%2BzWx4FvC3KVA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          187 applicants
        ","
          Full-time
        ","
            Mid-Senior level
          "
759,Brasil,"Plymouth Meeting, PA",Data Scientist,PayPal,https://www.linkedin.com/jobs/view/data-scientist-at-paypal-3284195317?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=oYnPL71I%2FaFISZ7dG3pssw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          53 applicants
        ","
          Full-time
        ","
            Not Applicable
          "
760,Brasil,San Francisco Bay Area,Data Scientist,Tredence Inc.,https://www.linkedin.com/jobs/view/data-scientist-at-tredence-inc-3306077906?refId=K8Hmg9rciKYzKLNAg%2BXFXQ%3D%3D&trackingId=Rlii6T0cdWkWuO6y64t4xA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          129 applicants
        ","
          Full-time
        ","
            Mid-Senior level
          "
761,Brasil,"São Paulo, São Paulo, Brazil",Cientista de Dados Junior,C6 Bank,https://br.linkedin.com/jobs/view/cientista-de-dados-junior-at-c6-bank-3324229660?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=KGtgR7B0bAHXwqYwtsdOLg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Tempo integral
        ","
            Assistente
          "
762,Brasil,"São Paulo, São Paulo, Brazil",Cientista de Dados Junior,Porto,https://br.linkedin.com/jobs/view/cientista-de-dados-junior-at-porto-3280709909?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=2dkl8cTAhNMaVDXw948edg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Tempo integral
        ","
            Não aplicável
          "
763,Brasil,Brazil,Cientista de Dados Jr.,Falconi,https://br.linkedin.com/jobs/view/cientista-de-dados-jr-at-falconi-3312248411?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=Tjb54HFTzgb8iUn5ao0RyQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Tempo integral
        ","
            Não aplicável
          "
764,Brasil,"Campinas, São Paulo, Brazil",Junior Data Scientist,4flow,https://br.linkedin.com/jobs/view/junior-data-scientist-at-4flow-3138419676?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=iaWmq0TWCZxZC8m4PjwO%2FQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Tempo integral
        ","
            Assistente
          "
765,Brasil,"São Paulo, São Paulo, Brazil",Cientista de dados Júnior,Mindsight,https://br.linkedin.com/jobs/view/cientista-de-dados-j%C3%BAnior-at-mindsight-3297480268?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=%2BoRTfoNNx4HenIWPTPYxhQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Tempo integral
        ","
            Assistente
          "
766,Brasil,Greater São Paulo Area,Cientista de Dados Jr,Fretebras,https://br.linkedin.com/jobs/view/cientista-de-dados-jr-at-fretebras-3305889501?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=VX7e2R9Hk8KquycmawLlFA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Tempo integral
        ","
            Assistente
          "
767,Brasil,"São Paulo, São Paulo, Brazil",Data Scientist,Poatek,https://br.linkedin.com/jobs/view/data-scientist-at-poatek-3314147816?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=xJH3ntoPjsz6LbDFeUt32g%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          35 candidaturas
        ","
          Tempo integral
        ","
            Pleno-sênior
          "
768,Brasil,Brazil,"Data Scientist, Spotify For Artists",Spotify,https://br.linkedin.com/jobs/view/data-scientist-spotify-for-artists-at-spotify-3259955530?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=0m%2BA0sZCzGQv1MGCJnCzYQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Tempo integral
        ","
            Assistente
          "
769,Brasil,Brazil,Data Scientist,PagoNxt (a Santander company),https://br.linkedin.com/jobs/view/data-scientist-at-pagonxt-a-santander-company-3311057267?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=v%2FO%2F%2BwCO%2BVxhRzFAywx9Wg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Tempo integral
        ","
            Pleno-sênior
          "
770,Brasil,Brazil,"Data Scientist, Strategic Research",Spotify,https://br.linkedin.com/jobs/view/data-scientist-strategic-research-at-spotify-3300011686?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=86z3MJr2iqH4%2Bn4k5bpl1Q%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          151 candidaturas
        ","
          Tempo integral
        ","
            Assistente
          "
771,Brasil,"São Paulo, Brazil",Data science analyst,Intellibrand,https://br.linkedin.com/jobs/view/data-science-analyst-at-intellibrand-3279725314?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=5Y3oS5oYvYhYmcQBbLKKRA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
772,Brasil,"São Paulo, São Paulo, Brazil",CIENTISTA DE DADOS JR,Cogna Educação,https://br.linkedin.com/jobs/view/cientista-de-dados-jr-at-cogna-educa%C3%A7%C3%A3o-3319571366?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=NRNfHX85636PTmI4myC2UQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Tempo integral
        ","
            Não aplicável
          "
773,Brasil,Brazil,"Data Scientist, Creator Promotion",Spotify,https://br.linkedin.com/jobs/view/data-scientist-creator-promotion-at-spotify-3308579471?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=Kmj2a7emxssl%2FX%2FPv4pYuQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
774,Brasil,"São Paulo, São Paulo, Brazil",Data Scientist,Bornlogic,https://br.linkedin.com/jobs/view/data-scientist-at-bornlogic-3325576478?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=AslNkW%2FEMn83GFFF%2Bb%2BYzQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Tempo integral
        ","
            Não aplicável
          "
775,Brasil,"São Paulo, São Paulo, Brazil",Cientista de Dados,Meta,https://br.linkedin.com/jobs/view/cientista-de-dados-at-meta-3318386838?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=3Oo53ExRNEjKSIdNU583Pw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
776,Brasil,"Fortaleza, Ceará, Brazil",Cientista de Dados Júnior (Remoto) - 27658-3163128,Instituto Atlântico,https://br.linkedin.com/jobs/view/cientista-de-dados-j%C3%BAnior-remoto-27658-3163128-at-instituto-atl%C3%A2ntico-3311233844?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=lPPwoCGLjHkryNOwMalI9A%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
777,Brasil,"São Paulo, São Paulo, Brazil",Cientista de Dados Júnior,Amplifica Digital,https://br.linkedin.com/jobs/view/cientista-de-dados-j%C3%BAnior-at-amplifica-digital-3293893332?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=6i4i7piBxGWhLOgkdvOyOQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
778,Brasil,"Jundiaí, São Paulo, Brazil",Cientista de Dados Júnior,DataEX,https://br.linkedin.com/jobs/view/cientista-de-dados-j%C3%BAnior-at-dataex-3306870044?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=qsHrqUr3bl0nN0G4MoqKrg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          165 candidaturas
        ","
          Tempo integral
        ","
            Assistente
          "
779,Brasil,"Florianópolis, Santa Catarina, Brazil",Cientista de Dados - Junior (Remoto),BIX Tech - Data Consulting,https://br.linkedin.com/jobs/view/cientista-de-dados-junior-remoto-at-bix-tecnologia-consultoria-de-dados-3319733714?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=mut2i7I7ngr1DH2AraJb1w%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Tempo integral
        ","
            Não aplicável
          "
780,Brasil,"Maringá, Paraná, Brazil",Cientista de Dados - Home Office,Trade Technology,https://br.linkedin.com/jobs/view/cientista-de-dados-home-office-at-trade-technology-3306429680?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=tZlM5Iz9%2B58%2B979eldq3MQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Tempo integral
        ","
            Não aplicável
          "
781,Brasil,Brazil,CIENTISTA DE DADOS,Grupo Malwee,https://br.linkedin.com/jobs/view/cientista-de-dados-at-grupo-malwee-3308509910?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=xxVpmODjH0AEvnE1riX6Bw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Tempo integral
        ","
            Assistente
          "
782,Brasil,Brazil,"Product Data Scientist, Spotify Advertising",Spotify,https://br.linkedin.com/jobs/view/product-data-scientist-spotify-advertising-at-spotify-3300012641?refId=fFnl0EF%2BJnuOacwCZZgm2g%3D%3D&trackingId=%2FKetniwpViT%2BriJnQFnBlg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          116 candidaturas
        ","
          Tempo integral
        ","
            Assistente
          "
