,Country,Location,Title,Company,Url,Postulaciones,Jornada,Antiguedad
0,Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,BICE VIDA,https://cl.linkedin.com/jobs/view/data-scientist-at-bice-vida-3327782810?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=FEcwQ2N6M2QyiqRn8aWKKQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            No corresponde
          "
1,Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,BNamericas,https://cl.linkedin.com/jobs/view/data-scientist-at-bnamericas-3276485127?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=0QEICnhMSfK9dtxU2D%2F2%2FA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          42 solicitudes
        ","
          Jornada completa
        ","
            Sin experiencia
          "
2,Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist.,Fuerza Laboral,https://cl.linkedin.com/jobs/view/data-scientist-at-fuerza-laboral-3319604968?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=Ihj4GfFy1VQNzpzhOjEq9A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
3,Chile,"Rancagua, O'Higgins Region, Chile",Data Scientist,Agrosuper,https://cl.linkedin.com/jobs/view/data-scientist-at-agrosuper-3324715110?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=WKtJcUREmubc6jOmS49fHA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Intermedio
          "
4,Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,MAS Analytics,https://cl.linkedin.com/jobs/view/data-scientist-at-mas-analytics-3319813637?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=E0kuFJ1zgdIPMH%2F9%2Fmn2pw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            No corresponde
          "
5,Chile,Chile,Data Scientist,COSMOS Save Energy,https://cl.linkedin.com/jobs/view/data-scientist-at-cosmos-save-energy-3306502106?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=ysf08VZSq2L5I9oCQxYe%2BA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          38 solicitudes
        ","
          Jornada completa
        ","
            No corresponde
          "
6,Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist Full time,BICE VIDA,https://cl.linkedin.com/jobs/view/data-scientist-full-time-at-bice-vida-3280000315?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=%2BUrKGNKg%2BhEYvgup0zECcw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          135 solicitudes
        ","
          Jornada completa
        ","
            Sin experiencia
          "
7,Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Falabella,https://cl.linkedin.com/jobs/view/data-scientist-at-falabella-3318081046?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=q6kX3maJBahLpLd18vDDRg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
8,Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Fusemachines,https://cl.linkedin.com/jobs/view/data-scientist-at-fusemachines-3313449173?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=uODX154KWGXsIzmeuK3j%2Fw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Intermedio
          "
9,Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Enel Chile,https://cl.linkedin.com/jobs/view/data-scientist-at-enel-chile-3324714136?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=T0cLJ1uFbxAa44WnBn36tw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Intermedio
          "
