,Country,Location,Title,Company,Url,Postulaciones,Jornada,Antiguedad
565,Colombia,"Colombia, Huila, Colombia",Data Scientist,10Pearls,https://co.linkedin.com/jobs/view/data-scientist-at-10pearls-3319550444?refId=E1TPcLQH%2FWEK0umnySMAOQ%3D%3D&trackingId=Xoh4o9nLcPiWlxWPPd%2FcUQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          29 solicitudes
        ","
          Jornada completa
        ","
            Intermedio
          "
566,Colombia,"Bogota, D.C., Capital District, Colombia",Científico de datos,Procalidad Analytics,https://co.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-at-procalidad-analytics-3325562623?refId=E1TPcLQH%2FWEK0umnySMAOQ%3D%3D&trackingId=7P6CBUSpuOCr6cq%2FeiCkdQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
567,Colombia,"Bogota, D.C., Capital District, Colombia",Científico de Datos,Connect Assistance,https://co.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-at-connect-assistance-3318538018?refId=E1TPcLQH%2FWEK0umnySMAOQ%3D%3D&trackingId=NKVPJhrddRRQjjePLk6jZw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          153 solicitudes
        ","
          Jornada completa
        ","
            Sin experiencia
          "
568,Colombia,"Bogota, D.C., Capital District, Colombia",Data Scientist,Polymath Ventures,https://co.linkedin.com/jobs/view/data-scientist-at-polymath-ventures-3316185049?refId=E1TPcLQH%2FWEK0umnySMAOQ%3D%3D&trackingId=RrdSNPdTsQ4o4GS06AVWqQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          95 solicitudes
        ","
          Jornada completa
        ","
            Sin experiencia
          "
569,Colombia,"Bogota, D.C., Capital District, Colombia",Data science o científico de datos,United Latino Students Association,https://co.linkedin.com/jobs/view/data-science-o-cienti%CC%81fico-de-datos-at-united-latino-students-association-3313499341?refId=E1TPcLQH%2FWEK0umnySMAOQ%3D%3D&trackingId=vS2G0ZceaESS%2FV5UhUL1zQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          40 solicitudes
        ","
          Jornada completa
        ","
            Sin experiencia
          "
570,Colombia,Latin America,Data Scientist,Factored,https://www.linkedin.com/jobs/view/data-scientist-at-factored-3318529667?refId=E1TPcLQH%2FWEK0umnySMAOQ%3D%3D&trackingId=nYMBJfnKivI6mijNYt4J3A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          54 applicants
        ","
          Full-time
        ","
            Entry level
          "
571,Colombia,"Bogota, D.C., Capital District, Colombia",Data Scientist,Clara,https://co.linkedin.com/jobs/view/data-scientist-at-clara-3318524336?refId=E1TPcLQH%2FWEK0umnySMAOQ%3D%3D&trackingId=wGTHhoxiroNsy8MGT8laXw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
572,Colombia,"Colombia, Huila, Colombia",Data Science Spark - Colombia,CINTE Colombia,https://co.linkedin.com/jobs/view/data-science-spark-colombia-at-cinte-colombia-3308520234?refId=E1TPcLQH%2FWEK0umnySMAOQ%3D%3D&trackingId=RuSB4p1bV6n0epuK%2FrU8IQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
573,Colombia,"Bogota, D.C., Capital District, Colombia",científico de datos junior,Trabajo Joven Sí Hay,https://co.linkedin.com/jobs/view/cient%C3%ADfico-de-datos-junior-at-trabajo-joven-s%C3%AD-hay-3261038757?refId=E1TPcLQH%2FWEK0umnySMAOQ%3D%3D&trackingId=mCsVi2o0u3e92%2Fz0woEmkQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
574,Colombia,"Seville, Valle del Cauca, Colombia",Machine Learning Developer,Accenture Colombia,https://co.linkedin.com/jobs/view/machine-learning-developer-at-accenture-colombia-3313390144?refId=E1TPcLQH%2FWEK0umnySMAOQ%3D%3D&trackingId=cI3ePJainQQU10dSh%2FyQiQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
