,Country,Location,Title,Company,Url,Postulaciones,Jornada,Antiguedad
637,Ecuador,"Bilbao, Chimborazo, Ecuador",Data Science,Accenture,https://ec.linkedin.com/jobs/view/data-science-at-accenture-3313387641?refId=SSMwfmf9MD93DFeWIkBucQ%3D%3D&trackingId=jwqM0cgtjXy4XK6A2g85uw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
638,Ecuador,"Bilbao, Chimborazo, Ecuador",Data Science,Accenture,https://ec.linkedin.com/jobs/view/data-science-at-accenture-3312247054?refId=SSMwfmf9MD93DFeWIkBucQ%3D%3D&trackingId=PoJRPolEoSRd8R2ppijo7A%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
639,Ecuador,Ecuador,Data Scientist - Remote - Latin America,FullStack Labs,https://ec.linkedin.com/jobs/view/data-scientist-remote-latin-america-at-fullstack-labs-3324232303?refId=SSMwfmf9MD93DFeWIkBucQ%3D%3D&trackingId=CcdoJJKsktsyme52SGFIvw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
640,Ecuador,"Quito, Pichincha, Ecuador",Ingeniero de mecatrónica,SIMPLE LOGIC S.A.,https://ec.linkedin.com/jobs/view/ingeniero-de-mecatr%C3%B3nica-at-simple-logic-s-a-3328180208?refId=SSMwfmf9MD93DFeWIkBucQ%3D%3D&trackingId=tv%2BQJChEV9VvSeOBglGSRQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,,"
          Jornada completa
        "
641,Ecuador,Ecuador,Junior Software Developers and Interns,ioet,https://ec.linkedin.com/jobs/view/junior-software-developers-and-interns-at-ioet-inc-3306264742?refId=SSMwfmf9MD93DFeWIkBucQ%3D%3D&trackingId=Zo3BhU1qCOB9sr9ZPSBPaw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
642,Ecuador,"Israel, Guayas, Ecuador",Algorithm Developer,Aspen Technology,https://ec.linkedin.com/jobs/view/algorithm-developer-at-aspen-technology-3291501663?refId=SSMwfmf9MD93DFeWIkBucQ%3D%3D&trackingId=ar%2B7DPlujz5KyJyrdWA07g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
643,Ecuador,Ecuador,Senior Machine Learning Engineer,EPAM Systems,https://ec.linkedin.com/jobs/view/senior-machine-learning-engineer-at-epam-systems-3175570702?refId=SSMwfmf9MD93DFeWIkBucQ%3D%3D&trackingId=3%2F6f7Fs8Gnx1s%2BrCNAjnoQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          30 solicitudes
        ","
          Jornada completa
        ","
            Intermedio
          "
644,Ecuador,Ecuador,DATA SCIENCE CONSULTANT QUITO,Management Solutions,https://ec.linkedin.com/jobs/view/data-science-consultant-quito-at-management-solutions-3276276757?refId=SSMwfmf9MD93DFeWIkBucQ%3D%3D&trackingId=eBN48NzLiTHp0l6H3JuwHA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Intermedio
          "
645,Ecuador,Ecuador,ReactJS Frontend Engineer (LatAm),Outliant,https://ec.linkedin.com/jobs/view/reactjs-frontend-engineer-latam-at-outliant-3320003506?refId=SSMwfmf9MD93DFeWIkBucQ%3D%3D&trackingId=nFhg5MitvdB%2FZBh%2F8jRvpA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          40 solicitudes
        ","
          Jornada completa
        ","
            Sin experiencia
          "
646,Ecuador,"Guayaquil, Guayas, Ecuador","Python Developer, Forward Kitchens (Remote) - $60,000/year USD",Crossover for Work,https://ec.linkedin.com/jobs/view/python-developer-forward-kitchens-remote-%2460-000-year-usd-at-crossover-for-work-3318544516?refId=SSMwfmf9MD93DFeWIkBucQ%3D%3D&trackingId=6552WsX82lEJ%2BtkM8OaTCA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Algo de responsabilidad
          "
