,Country,Location,Title,Company,Url,Postulaciones,Jornada,Antiguedad
245,Guyana,"No. 3, Mahaica-Berbice, Guyana",Data Engineer,Univision,https://gy.linkedin.com/jobs/view/data-engineer-at-univision-3323480051?refId=2Ot4pSVBqs1MeVjMrFUmmQ%3D%3D&trackingId=CIadkymk6qbsKOUKvdaguw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Entry level
          "
246,Guyana,"Lima, Pomeroon-Supenaam, Guyana",Remote Full Stack Web Developer,MonetizeMore,https://gy.linkedin.com/jobs/view/remote-full-stack-web-developer-at-monetizemore-3092685923?refId=2Ot4pSVBqs1MeVjMrFUmmQ%3D%3D&trackingId=P1ZPxAFRxUrwhn151PG2ZA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Entry level
          "
247,Guyana,Guyana,Senior Blockchain Engineer,X9 Studios,https://gy.linkedin.com/jobs/view/senior-blockchain-engineer-at-x9-studios-3323294363?refId=2Ot4pSVBqs1MeVjMrFUmmQ%3D%3D&trackingId=r0MBdUbq54Bf883US%2BuheA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Mid-Senior level
          "
248,Guyana,"Georgetown, Demerara-Mahaica, Guyana","Software Development Specialist, Trilogy (Remote) - $100,000/year USD",Crossover for Work,https://gy.linkedin.com/jobs/view/software-development-specialist-trilogy-remote-%24100-000-year-usd-at-crossover-for-work-3318547553?refId=2Ot4pSVBqs1MeVjMrFUmmQ%3D%3D&trackingId=f3vL2XcCAmnqky46Rj1zgA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Mid-Senior level
          "
249,Guyana,"Georgetown, Demerara-Mahaica, Guyana",Operations Intelligence Performance Optimization Center Engineer,SBM Offshore,https://gy.linkedin.com/jobs/view/operations-intelligence-performance-optimization-center-engineer-at-sbm-offshore-3303249418?refId=2Ot4pSVBqs1MeVjMrFUmmQ%3D%3D&trackingId=7AHYL53OeiIQldK8xtf%2Fbg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
250,Guyana,Guyana,Senior Web Engineer,Scopic Software,https://gy.linkedin.com/jobs/view/senior-web-engineer-at-scopic-software-3296850810?refId=2Ot4pSVBqs1MeVjMrFUmmQ%3D%3D&trackingId=YmpwqI4J5bGAAJvOTHOB3A%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Mid-Senior level
          "
251,Guyana,"Section C, Demerara-Mahaica, Guyana",Softwareentwickler Web / .NET m/w (Teilzeit möglich),JobCourier,https://gy.linkedin.com/jobs/view/softwareentwickler-web-net-m-w-teilzeit-m%C3%B6glich-at-jobcourier-3306443266?refId=2Ot4pSVBqs1MeVjMrFUmmQ%3D%3D&trackingId=CRU4XC2k87jniD%2FyUseYAA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Entry level
          "
252,Guyana,Guyana,Release Engineer,Looi Consulting LLC,https://gy.linkedin.com/jobs/view/release-engineer-at-looi-consulting-llc-3289526113?refId=2Ot4pSVBqs1MeVjMrFUmmQ%3D%3D&trackingId=CZc1o9Mhbxnr16h1aYd7QA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Entry level
          "
253,Guyana,Guyana,Freelance Elixir Developer,Toptal,https://gy.linkedin.com/jobs/view/freelance-elixir-developer-at-toptal-3313330464?refId=2Ot4pSVBqs1MeVjMrFUmmQ%3D%3D&trackingId=ZVVnFiHOHY%2FF%2FlIzsfuiyw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Contract
        ","
            Mid-Senior level
          "
254,Guyana,"No. 3, Mahaica-Berbice, Guyana",Sr. Software Engineer,Univision,https://gy.linkedin.com/jobs/view/sr-software-engineer-at-univision-3322089787?refId=2Ot4pSVBqs1MeVjMrFUmmQ%3D%3D&trackingId=BpsYq0%2FAQAuzbfHEzA%2FlyQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Mid-Senior level
          "
