,Country,Location,Title,Company,Url,Postulaciones,Jornada,Antiguedad
1031,Paraguay,Paraguay,Data Scientist,United Latino Students Association,https://py.linkedin.com/jobs/view/data-scientist-at-united-latino-students-association-3323308216?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=Z9kWYDgcH61cL4hlyVkClg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
1032,Paraguay,"Asunción, Paraguay",Developer,EXCELSIS,https://py.linkedin.com/jobs/view/developer-at-excelsis-3307048431?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=5AY4TbL%2BVtAMl%2FyiXsBLnA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,,"
          Jornada completa
        "
1033,Paraguay,"Asunción, Paraguay",Software Engineer,WillDom,https://py.linkedin.com/jobs/view/software-engineer-at-willdom-3308425505?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=wa8Tx%2BCA5j63CV%2BuamNJeg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,,"
          Jornada completa
        "
1034,Paraguay,"Asuncion, Asunción, Paraguay",Software Engineer,Equifax,https://py.linkedin.com/jobs/view/software-engineer-at-equifax-3300562759?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=sbgiYoPey%2Ftm%2FWASNDAdVQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
1035,Paraguay,"Asunción, Paraguay",Software Engineer,EBSA Group,https://py.linkedin.com/jobs/view/software-engineer-at-ebsa-group-3315387992?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=sWzFtFco2rjMPLwzfp0lFw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
1036,Paraguay,Paraguay,Full Stack Engineer,TrueNorth,https://py.linkedin.com/jobs/view/full-stack-engineer-at-truenorth-3287283930?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=x%2FUxx8bMTuV7nUBqAG%2FAoA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
1037,Paraguay,"Asuncion, Asunción, Paraguay",Senior Python Developer,Virtualmind,https://py.linkedin.com/jobs/view/senior-python-developer-at-virtualmind-3321018765?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=Ns%2BTV0YbkIH4uz95KZfbYQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
1038,Paraguay,Paraguay,Big Data Engineer (Scala-Spark),Applaudo,https://py.linkedin.com/jobs/view/big-data-engineer-scala-spark-at-applaudo-3241956394?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=J%2FV6lrrq%2FRtl6K2ulSO0FA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
1039,Paraguay,"Asunción, Paraguay",Work From Home Java Developer,Workling,https://py.linkedin.com/jobs/view/work-from-home-java-developer-at-workling-3320781886?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=KKS%2B3l9haSPehV5x9lZ%2B%2Fw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
1040,Paraguay,Paraguay,Sr. Node.js Engineer,TrueNorth,https://py.linkedin.com/jobs/view/sr-node-js-engineer-at-truenorth-3287268980?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=a6tAqbw%2BwMtq0yMc4VE%2BkQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Intermedio
          "
1041,Paraguay,"Asunción, Paraguay",Work From Home .NET Developer,L.A. Head Hunter,https://py.linkedin.com/jobs/view/work-from-home-net-developer-at-l-a-head-hunter-3316233102?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=LBHEdYcmczlyDb%2BQgzOBoQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
1042,Paraguay,Paraguay,Join Our Tech Talent Pool (LATAM Remote),Qeystroke,https://py.linkedin.com/jobs/view/join-our-tech-talent-pool-latam-remote-at-qeystroke-3302215805?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=KbhYepORcIilJiLuExw9dw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
1043,Paraguay,"Asunción, Paraguay",Desarrollador Java,Experis Paraguay,https://py.linkedin.com/jobs/view/desarrollador-java-at-experis-paraguay-3308887477?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=Ybt9Dg8DG5NbHG5dobUmUw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,,,"
          Jornada completa
        "
1044,Paraguay,"Asunción, Paraguay",Python Software Programmer - Work from Home,Oowlish,https://py.linkedin.com/jobs/view/python-software-programmer-work-from-home-at-oowlish-3277733806?refId=OEhNyv9uAT9o68TF6vjv%2Fg%3D%3D&trackingId=E%2BZCt9IS08ZizGcjgL1WVg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
