,Country,Location,Title,Company,Url,Postulaciones,Jornada,Antiguedad
195,Suriname,"Centrum, Paramaribo, Suriname",Junior Full Stack Developer,Kingfisher Recruitment,https://sr.linkedin.com/jobs/view/junior-full-stack-developer-at-kingfisher-recruitment-3313474020?refId=92YftzQSfCWRrr7j214YIA%3D%3D&trackingId=RIdAYYFW9qghmC0iRZ58Hw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Entry level
          "
196,Suriname,"Centrum, Paramaribo, Suriname",Back-end Developer,Kingfisher Recruitment,https://sr.linkedin.com/jobs/view/back-end-developer-at-kingfisher-recruitment-3311646790?refId=92YftzQSfCWRrr7j214YIA%3D%3D&trackingId=m5qLKHkvpyMvNg0j4iiWZg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
197,Suriname,"Centrum, Paramaribo, Suriname",Full Stack Developer,Kingfisher Recruitment,https://sr.linkedin.com/jobs/view/full-stack-developer-at-kingfisher-recruitment-3312489213?refId=92YftzQSfCWRrr7j214YIA%3D%3D&trackingId=xigchO1G0U548ecPM0W2QA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Entry level
          "
198,Suriname,Suriname,Senior Blockchain Engineer,X9 Studios,https://sr.linkedin.com/jobs/view/senior-blockchain-engineer-at-x9-studios-3323290933?refId=92YftzQSfCWRrr7j214YIA%3D%3D&trackingId=gKhr%2FYUAM25q%2BZ2W4%2FFdog%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Mid-Senior level
          "
199,Suriname,"Centrum, Paramaribo, Suriname",.NET Developer,Kingfisher Recruitment,https://sr.linkedin.com/jobs/view/net-developer-at-kingfisher-recruitment-3311650136?refId=92YftzQSfCWRrr7j214YIA%3D%3D&trackingId=ILnBuTLvqJCLWqPcIBJs2Q%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
200,Suriname,"Centrum, Paramaribo, Suriname",Database Reliability Engineer (Remote),Percona,https://sr.linkedin.com/jobs/view/database-reliability-engineer-remote-at-percona-3318517203?refId=92YftzQSfCWRrr7j214YIA%3D%3D&trackingId=jEskaZKtj1li%2BUK6IEPBrw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Entry level
          "
201,Suriname,"Centrum, Paramaribo, Suriname",Full Stack Developer (Java & Angular),Kingfisher Recruitment,https://sr.linkedin.com/jobs/view/full-stack-developer-java-angular-at-kingfisher-recruitment-3303979660?refId=92YftzQSfCWRrr7j214YIA%3D%3D&trackingId=OSESj9NKKCr2nx52bon7Xg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
202,Suriname,Suriname,Release Engineer,Looi Consulting LLC,https://sr.linkedin.com/jobs/view/release-engineer-at-looi-consulting-llc-3311857940?refId=92YftzQSfCWRrr7j214YIA%3D%3D&trackingId=80IkszLQ4vj8kwTF5lV%2FWw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
203,Suriname,"Centrum, Paramaribo, Suriname",Frontend Developer (Angular),Kingfisher Recruitment,https://sr.linkedin.com/jobs/view/frontend-developer-angular-at-kingfisher-recruitment-3303981429?refId=92YftzQSfCWRrr7j214YIA%3D%3D&trackingId=aYPV%2BYl5Zl7F8msVSPHeDQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Full-time
        ","
            Entry level
          "
204,Suriname,Suriname,Freelance Unreal Engine Developer,Toptal,https://sr.linkedin.com/jobs/view/freelance-unreal-engine-developer-at-toptal-3313330450?refId=92YftzQSfCWRrr7j214YIA%3D%3D&trackingId=sKbZG7%2BAUsadvql3KdN66g%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
