,Country,Location,Title,Company,Url,Postulaciones,Jornada,Antiguedad
931,Uruguay,"Montevideo, Montevideo, Uruguay",Python Developer - Remote,Zyte,https://uy.linkedin.com/jobs/view/python-developer-remote-at-zyte-3292915087?refId=vj%2F07ZfUPzjRpTdRlmJl%2Bg%3D%3D&trackingId=PUy9RUAaMgEmXfJVyiIpyg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          40 solicitudes
        ","
          Jornada completa
        ","
            Intermedio
          "
932,Uruguay,"Montevideo, Montevideo, Uruguay",Python Developer,FRIEDMAN,https://uy.linkedin.com/jobs/view/python-developer-at-friedman-3321040772?refId=vj%2F07ZfUPzjRpTdRlmJl%2Bg%3D%3D&trackingId=HTVnal1YugDk6828m2LUpw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
933,Uruguay,"Montevideo, Montevideo, Uruguay",Desarrollador Junior [Python /React],FRIEDMAN,https://uy.linkedin.com/jobs/view/desarrollador-junior-python-react-at-friedman-3301053804?refId=vj%2F07ZfUPzjRpTdRlmJl%2Bg%3D%3D&trackingId=H43A9vq3CZuKSegv28%2FwTg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,,,
934,Uruguay,"Montevideo, Montevideo, Uruguay",Sr Data Scientist👨💻 | 🏢Multinacional líder en Retail en Latam 🌎 | Montevideo📍,Prometeo Talent - Recruitment services for high-growth tech companies.,https://uy.linkedin.com/jobs/view/sr-data-scientist%F0%9F%91%A8%E2%80%8D%F0%9F%92%BB-%F0%9F%8F%A2multinacional-l%C3%ADder-en-retail-en-latam-%F0%9F%8C%8E-montevideo%F0%9F%93%8D-at-prometeo-consultora-de-recursos-humanos-reclutamiento-y-selecci%C3%B3n-ti-atracci%C3%B3n-de-talento-3248770156?refId=vj%2F07ZfUPzjRpTdRlmJl%2Bg%3D%3D&trackingId=eTShHCdDMMmQX6eQGFiqiQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Intermedio
          "
935,Uruguay,"Montevideo, Montevideo, Uruguay",Desarrollador Python Backend,FRIEDMAN,https://uy.linkedin.com/jobs/view/desarrollador-python-backend-at-friedman-3306666692?refId=vj%2F07ZfUPzjRpTdRlmJl%2Bg%3D%3D&trackingId=9lNBAxikS63FRQxqPU0vSQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            No corresponde
          "
936,Uruguay,"Montevideo, Uruguay",Python Developer,Tata Consultancy Services,https://uy.linkedin.com/jobs/view/python-developer-at-tata-consultancy-services-3311060119?refId=vj%2F07ZfUPzjRpTdRlmJl%2Bg%3D%3D&trackingId=5zbdiNro9o6uqr0AbNiFAA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          41 solicitudes
        ","
          Jornada completa
        ","
            Intermedio
          "
937,Uruguay,"Montevideo, Uruguay",Desarrollador Junior Backend,Zonamerica,https://uy.linkedin.com/jobs/view/desarrollador-junior-backend-at-zonamerica-3324368320?refId=vj%2F07ZfUPzjRpTdRlmJl%2Bg%3D%3D&trackingId=YNHua%2BKzHtxqsoJtWuu3iw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"
          156 solicitudes
        ","
          Jornada completa
        ","
            Intermedio
          "
938,Uruguay,Uruguay,Data Scientist - Remote - Latin America,FullStack Labs,https://uy.linkedin.com/jobs/view/data-scientist-remote-latin-america-at-fullstack-labs-3324231435?refId=vj%2F07ZfUPzjRpTdRlmJl%2Bg%3D%3D&trackingId=T1Q6XiItTFnH8xq0eejTGw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
939,Uruguay,"Montevideo, Uruguay",Software Developer,Cedarcode,https://uy.linkedin.com/jobs/view/software-developer-at-cedarcode-3167051662?refId=vj%2F07ZfUPzjRpTdRlmJl%2Bg%3D%3D&trackingId=Q47htGbUAX3rkP3ai3gT5g%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,,,"
          Media jornada
        "
940,Uruguay,"Montevideo, Montevideo, Uruguay",Data Scientist - Remote - Latin America,FullStack Labs,https://uy.linkedin.com/jobs/view/data-scientist-remote-latin-america-at-fullstack-labs-3324231433?refId=vj%2F07ZfUPzjRpTdRlmJl%2Bg%3D%3D&trackingId=wat5Daik4n%2Bk9cRCJIKbZw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,,"
          Jornada completa
        ","
            Sin experiencia
          "
