Country,Location,Title,Company,Url,English,EducationLevel,YearsExperience,CompanyScore,SalaryUSD,CountryScore
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,BICE VIDA,https://cl.linkedin.com/jobs/view/data-scientist-at-bice-vida-3327782810?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=FEcwQ2N6M2QyiqRn8aWKKQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,1,3,6,6.683721748,2621,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,BNamericas,https://cl.linkedin.com/jobs/view/data-scientist-at-bnamericas-3276485127?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=0QEICnhMSfK9dtxU2D%2F2%2FA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,0,3,7,10.03532885,2195,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist.,Fuerza Laboral,https://cl.linkedin.com/jobs/view/data-scientist-at-fuerza-laboral-3319604968?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=Ihj4GfFy1VQNzpzhOjEq9A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,1,4,9,4.988699505,3474,34.0
Chile,"Rancagua, O'Higgins Region, Chile",Data Scientist,Agrosuper,https://cl.linkedin.com/jobs/view/data-scientist-at-agrosuper-3324715110?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=WKtJcUREmubc6jOmS49fHA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,0,3,7,1.766855477,2195,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,MAS Analytics,https://cl.linkedin.com/jobs/view/data-scientist-at-mas-analytics-3319813637?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=E0kuFJ1zgdIPMH%2F9%2Fmn2pw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,0,1,4,6.331954447,1037,34.0
Chile,Chile,Data Scientist,COSMOS Save Energy,https://cl.linkedin.com/jobs/view/data-scientist-at-cosmos-save-energy-3306502106?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=ysf08VZSq2L5I9oCQxYe%2BA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,1,3,7,5.440532721,2804,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist Full time,BICE VIDA,https://cl.linkedin.com/jobs/view/data-scientist-full-time-at-bice-vida-3280000315?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=%2BUrKGNKg%2BhEYvgup0zECcw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,0,3,7,3.164475363,2195,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Falabella,https://cl.linkedin.com/jobs/view/data-scientist-at-falabella-3318081046?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=q6kX3maJBahLpLd18vDDRg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,1,5,11,4.964838218,4144,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Fusemachines,https://cl.linkedin.com/jobs/view/data-scientist-at-fusemachines-3313449173?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=uODX154KWGXsIzmeuK3j%2Fw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2,6,5.012272932,2317,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Enel Chile,https://cl.linkedin.com/jobs/view/data-scientist-at-enel-chile-3324714136?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=T0cLJ1uFbxAa44WnBn36tw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,1,1,6,0.868859304,2012,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Machine Learning Engineer,Fusemachines,https://cl.linkedin.com/jobs/view/machine-learning-engineer-at-fusemachines-3313441690?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=qwDEWThprxAG9A94rvVA%2FQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2,5,6.914939913,2134,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Machine Learning Engineer,Fusemachines,https://cl.linkedin.com/jobs/view/machine-learning-engineer-at-fusemachines-3313439797?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=B1BGKKtYhiepH6QDIpJLjw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,0,3,6,7.823259262,2012,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Engineer Computer Vision / Machine Learning,Multiplica Talent,https://cl.linkedin.com/jobs/view/engineer-computer-vision-machine-learning-at-multiplica-talent-3314354410?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=Sm6izTPxwPkWynqJ6VT2VQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,1,2,5,3.970647908,2134,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist Especialista,Valor Único,https://cl.linkedin.com/jobs/view/data-scientist-especialista-at-valor-%C3%BAnico-3319606872?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=0A3H4MhCU4FpI5zERHQRaw%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,1,5,7,5.754802329,3413,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Desarrollador Robotics Engineer,Maquintel Robotic Services,https://cl.linkedin.com/jobs/view/desarrollador-robotics-engineer-at-maquintel-robotic-services-3324717105?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=yNVxbiqz%2BVuH6mNm946tdw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,1,4,8,4.873706353,3291,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,Page Personnel,https://cl.linkedin.com/jobs/view/data-scientist-at-page-personnel-3173868387?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=05yh4IrqNZMdoKtcJMVPYA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,0,1,4,6.344608508,1037,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,PMA Design,https://cl.linkedin.com/jobs/view/data-scientist-at-pma-design-3300690142?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=l8Ft%2FQW5z32Erlo8okzTIw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,1,4,6,3.012666653,2926,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,PMA Design,https://cl.linkedin.com/jobs/view/data-scientist-at-pma-design-3267952609?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=3bI%2Fcn40HjOM1KNP9KGThQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,0,2,4,2.164566078,1342,34.0
Chile,"Santiago, Santiago Metropolitan Region, Chile",Data Scientist,PMA Design,https://cl.linkedin.com/jobs/view/data-scientist-at-pma-design-3300688385?refId=VFgvWy13jFSd2zK%2B2vc9UQ%3D%3D&trackingId=%2B5pVObYKsURxS3bvp6G81Q%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,1,3,8,9.226803248,2987,34.0
