Producto;Marca;CodigoSKU;Costo;PrecioVenta;Unidades
Cuaderno lineas;SVLUS;1003789;1210;1452;116
Cuaderno cuadros;SVLUS;1929835;1210;1452;165
Lapiz grafito;Lappau;1366925;470;564;194
Goma de borrar;Lappau;1461758;285;342;131
Corchetera;Officia;1835948;3250;3900;190
Pincel fino;ArtM;1992659;990;1188;139
Pincel grueso;ArtM;1959137;1100;1320;198
Acrilico 6 colores;ArtM;1124149;7320;8784;45
Mezclador 6 ;ArtM;1954385;890;1068;138
Toner;TechOf;1301317;15230;18276;145
Resma carta;MultiOffice;1987180;4580;5496;7
Corrector blanco;MultiOffice;1062342;2565;3078;80
Tijera escolar;Lappau;1939778;2200;2640;75
Destacador amarillo;Lappau;1918078;1320;1584;124
Destacador verde;Lappau;1028765;1320;1584;21
Block notas;MultiPaper;1375330;3128;3753.6;42
Marcador pizarra azul;Officia;1045223;1530;1836;131
Marcador pizarra negro;Officia;1818443;1530;1836;154
Perforadora;Officia;1302786;6430;7716;29
Clips 100U;MultiOffice;1967352;650;780;128
Clips 1000U;MultiOffice;1912077;5235;6282;19
Borrador;Officia;1875869;6780;8136;25
Barra pegamento;ArtM;1898500;765;918;52
Bolígrafo azul;Lappau;1039715;525;630;168
Bolígrafo negro;Lappau;1590428;530;636;142
Bolígrafo rojo;Lappau;1760135;530;636;73
